__docPath,__docId,createdAt,date,minutes,source,trigger
todos/qZKJCL2VufLaTX9DEQp4/sessions/K5Pc7aJswYNFCUzAWJP2,K5Pc7aJswYNFCUzAWJP2,2025-11-26T05:36:30.937Z,2025-11-26,15,manual,list
todos/qZKJCL2VufLaTX9DEQp4/sessions/fxYKYYCSGgGa63Wi3lVB,fxYKYYCSGgGa63Wi3lVB,2025-12-01T05:49:58.534Z,2025-12-01,10,manual,list
todos/qZKJCL2VufLaTX9DEQp4/sessions/vHPqU0tsFaWxOnsID1T0,vHPqU0tsFaWxOnsID1T0,2025-12-09T01:38:19.932Z,2025-12-09,30,manual,list
