__docPath,__docId,algoVariant,baselineA_hours,skipWeekends,updatedAt,weekday,weekend,workEnd,workStart
users/EyQHdJounoeN8h11wqvbDmuNK2j2/settings/app,app,,,false,2025-09-16T06:23:06.808Z,,,23:00,10:00
users/EyQHdJounoeN8h11wqvbDmuNK2j2/settings/capacity,capacity,,,,,4,6,,
users/EyQHdJounoeN8h11wqvbDmuNK2j2/settings/experiment,experiment,modifiedPERT,2,,,,,,
users/EyQHdJounoeN8h11wqvbDmuNK2j2/settings/notifyWindow,notifyWindow,,,,,"{""start"":""08:00"",""end"":""23:30""}","{""start"":""09:00"",""end"":""23:30""}",,
