__docPath,__docId,createdAt,date,minutes,source,trigger
todos/H4r4RS33SpOUYyMby8UI/sessions/J078BjHeOhEi6NOaDpfD,J078BjHeOhEi6NOaDpfD,2025-12-12T01:10:39.640Z,2025-12-12,10,manual,list
todos/H4r4RS33SpOUYyMby8UI/sessions/Z9dbEssKuUVNrIbXy9GR,Z9dbEssKuUVNrIbXy9GR,2025-12-17T04:25:28.739Z,2025-12-17,20,manual,list
todos/H4r4RS33SpOUYyMby8UI/sessions/wo3ONt1snhevaCalJRpR,wo3ONt1snhevaCalJRpR,2025-12-14T05:59:26.317Z,2025-12-14,45,manual,list
