__docPath,__docId,evm,notifications.sent.morning,notifications.sent.morningSummary,notifications.sent.progress,notifications.sent.progressReminder,updatedAt
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-07,2025-11-07,"{""riskLevel"":""ok"",""idealProgress"":0.22,""actualProgress"":0.25,""eacDate"":""2025-12-13"",""spi"":1.53}",1,,1,,2025-11-07T12:39:49.145Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-08,2025-11-08,,1,,1,,2025-11-08T01:00:02.295Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-09,2025-11-09,,1,,1,,2025-11-09T01:00:02.061Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-10,2025-11-10,,1,,1,,2025-11-10T01:00:02.140Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-11,2025-11-11,,1,,1,,2025-11-11T01:00:02.283Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-12,2025-11-12,"{""idealProgress"":0.5,""actualProgress"":0.78,""riskLevel"":""ok"",""eacDate"":""2025-11-13"",""spi"":7}",1,,2,,2025-11-12T07:07:01.966Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-13,2025-11-13,,1,,1,,2025-11-13T07:07:02.750Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-14,2025-11-14,,1,,1,,2025-11-14T07:07:01.901Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-15,2025-11-15,,1,,1,,2025-11-15T07:07:02.723Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-16,2025-11-16,,1,,1,,2025-11-16T07:07:02.429Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-17,2025-11-17,"{""actualProgress"":0.27,""idealProgress"":0.36,""riskLevel"":""ok"",""eacDate"":""2025-12-24"",""spi"":1.22}",1,,1,,2025-11-17T08:59:35.997Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-18,2025-11-18,"{""riskLevel"":""ok"",""eacDate"":""2025-12-25"",""idealProgress"":0.36,""actualProgress"":0.27,""spi"":1.2}",1,,1,,2025-11-18T12:00:06.212Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-19,2025-11-19,,,,1,,2025-11-19T12:00:02.474Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-20,2025-11-20,"{""actualProgress"":0.31,""riskLevel"":""ok"",""eacDate"":""2025-12-14"",""idealProgress"":0.41,""spi"":1.77}",,,1,,2025-11-20T12:00:06.010Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-21,2025-11-21,,,,1,,2025-11-21T12:00:02.290Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-22,2025-11-22,,,,1,,2025-11-22T12:00:02.508Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-23,2025-11-23,,,,1,,2025-11-23T12:00:02.237Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-24,2025-11-24,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":"""",""idealProgress"":0.54,""spi"":0}",,,1,,2025-11-24T12:00:02.293Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-11-25,2025-11-25,"{""actualProgress"":0.32,""riskLevel"":""ok"",""eacDate"":""2025-12-23"",""idealProgress"":0.46,""spi"":1.35}",,,1,,2025-11-25T12:00:01.785Z
