__docPath,__docId,createdAt,date,minutes,source,trigger
todos/aQInLuXM80dQeHCpz6vs/sessions/2kDKw25KxsS8KZHCI1sD,2kDKw25KxsS8KZHCI1sD,2025-11-24T10:56:19.167Z,2025-11-24,120,manual,manual
todos/aQInLuXM80dQeHCpz6vs/sessions/BmF2fDUws1gltfEw3psX,BmF2fDUws1gltfEw3psX,2025-12-02T09:02:35.156Z,2025-12-02,60,manual,log-editor
todos/aQInLuXM80dQeHCpz6vs/sessions/MXcJtX4gwE5rnOP3ib1S,MXcJtX4gwE5rnOP3ib1S,2025-11-29T19:00:39.167Z,2025-11-30,180,manual,log-editor
todos/aQInLuXM80dQeHCpz6vs/sessions/jmFMXJdvMOPyljZeV0Co,jmFMXJdvMOPyljZeV0Co,2025-11-29T16:51:09.505Z,2025-11-27,180,manual,log-editor
todos/aQInLuXM80dQeHCpz6vs/sessions/q7AZtPHIVp2wG6BjocaV,q7AZtPHIVp2wG6BjocaV,2025-12-01T07:12:27.171Z,2025-12-01,180,manual,log-editor
