__docPath,__docId,after,before,changedFields,context,createdAt
todos/RzRotmx1X9OzjqCFdaCU/history/CrGlOOOpyVFlNwtk0mZk,CrGlOOOpyVFlNwtk0mZk,"{""id"":""RzRotmx1X9OzjqCFdaCU"",""labelId"":"""",""morningSummaryNotified"":false,""spiAdj"":0.76,""requiredPaceAdj"":26.6,""requiredPace"":29.6,""spi"":0.68,""statsUpdatedAt"":""2025-12-10T12:02:49.523Z"",""paceExp"":119.9,""estimatedMinutes"":720,""assigned"":{""2025-11-26"":24,""2025-11-30"":25,""2025-11-28"":23,""2025-12-04"":26,""2025-11-29"":23,""2025-11-25"":25,""2025-12-05"":26,""2025-11-24"":23,""2025-12-09"":27,""2025-11-27"":25,""2025-12-02"":22},""dailyAssignments"":[],""morningSummaryLastDate"":"""",""pace7d"":20.1,""actualTotalMinutes"":454,""unallocatedMinutes"":"""",""eacDate"":""2025-12-25"",""morningSummaryNotifiedAt"":"""",""deadline"":""2025-12-20T09:00:00.000Z"",""spiExp"":4.05,""idealProgress"":0.68,""text"":""TCE"",""actualProgress"":0.59,""spi7d"":0.68,""actualLogs"":{""2025-12-05"":1,""2025-11-24"":90,""2025-11-30"":40,""2025-12-01"":60,""2025-11-25"":30,""2025-11-29"":35,""2025-11-28"":28,""2025-12-07"":20,""2025-12-10"":120,""2025-12-14"":30},""lastProgressAt"":""2025-12-07T00:56:06.762Z"",""createdAt"":""2025-11-20T07:04:10.542Z"",""dailyProgress"":{},""completed"":false,""assignedMinutes"":"""",""dailyPlanGeneratedAt"":"""",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""riskLevel"":""late""}","{""id"":""RzRotmx1X9OzjqCFdaCU"",""labelId"":"""",""morningSummaryNotified"":false,""spiAdj"":0.76,""requiredPaceAdj"":26.6,""requiredPace"":29.6,""spi"":0.68,""statsUpdatedAt"":""2025-12-10T12:02:49.523Z"",""paceExp"":119.9,""estimatedMinutes"":720,""assigned"":{""2025-11-26"":24,""2025-11-30"":25,""2025-11-28"":23,""2025-12-04"":26,""2025-11-29"":23,""2025-11-25"":25,""2025-12-05"":26,""2025-11-24"":23,""2025-12-09"":27,""2025-11-27"":25,""2025-12-02"":22},""dailyAssignments"":[],""morningSummaryLastDate"":"""",""pace7d"":20.1,""actualTotalMinutes"":424,""unallocatedMinutes"":"""",""eacDate"":""2025-12-25"",""morningSummaryNotifiedAt"":"""",""deadline"":""2025-12-20T09:00:00.000Z"",""spiExp"":4.05,""idealProgress"":0.68,""text"":""TCE"",""actualProgress"":0.59,""spi7d"":0.68,""actualLogs"":{""2025-12-05"":1,""2025-11-24"":90,""2025-11-30"":40,""2025-12-01"":60,""2025-11-25"":30,""2025-11-29"":35,""2025-11-28"":28,""2025-12-07"":20,""2025-12-10"":120},""lastProgressAt"":""2025-12-07T00:56:06.762Z"",""createdAt"":""2025-11-20T07:04:10.542Z"",""dailyProgress"":{},""completed"":false,""assignedMinutes"":"""",""dailyPlanGeneratedAt"":"""",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""riskLevel"":""late""}","[""actualTotalMinutes"",""actualLogs.2025-12-14""]",add-actual-from-todo-list,2025-12-14T05:59:30.878Z
todos/RzRotmx1X9OzjqCFdaCU/history/LcJCxB6XTDqx5tayvcrf,LcJCxB6XTDqx5tayvcrf,"{""id"":""RzRotmx1X9OzjqCFdaCU"",""morningSummaryNotified"":false,""dailyProgress"":{},""actualTotalMinutes"":364,""deadline"":""2025-12-20T09:00:00.000Z"",""paceExp"":0.1,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""dailyAssignments"":[],""spiAdj"":0.34,""actualProgress"":0.42,""requiredPaceAdj"":31.2,""statsUpdatedAt"":""2025-12-09T04:01:19.509Z"",""dailyPlanGeneratedAt"":"""",""pace7d"":10.5,""idealProgress"":0.61,""morningSummaryNotifiedAt"":"""",""spi"":0.3,""estimatedMinutes"":720,""assigned"":{""2025-11-29"":23,""2025-11-26"":24,""2025-12-02"":22,""2025-11-25"":25,""2025-11-28"":23,""2025-11-24"":23,""2025-12-04"":26,""2025-11-27"":25,""2025-12-09"":27,""2025-11-30"":25,""2025-12-05"":26},""assignedMinutes"":"""",""labelId"":"""",""eacDate"":""2026-01-18"",""spi7d"":0.3,""actualLogs"":{""2025-11-30"":40,""2025-12-05"":1,""2025-12-07"":20,""2025-11-28"":28,""2025-11-24"":90,""2025-11-29"":35,""2025-12-01"":60,""2025-11-25"":30,""2025-12-10"":60},""text"":""TCE"",""morningSummaryLastDate"":"""",""createdAt"":""2025-11-20T07:04:10.542Z"",""lastProgressAt"":""2025-12-07T00:56:06.762Z"",""completed"":false,""spiExp"":0,""requiredPace"":34.7,""riskLevel"":""late"",""unallocatedMinutes"":""""}","{""id"":""RzRotmx1X9OzjqCFdaCU"",""morningSummaryNotified"":false,""dailyProgress"":{},""actualTotalMinutes"":304,""deadline"":""2025-12-20T09:00:00.000Z"",""paceExp"":0.1,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""dailyAssignments"":[],""spiAdj"":0.34,""actualProgress"":0.42,""requiredPaceAdj"":31.2,""statsUpdatedAt"":""2025-12-09T04:01:19.509Z"",""dailyPlanGeneratedAt"":"""",""pace7d"":10.5,""idealProgress"":0.61,""morningSummaryNotifiedAt"":"""",""spi"":0.3,""estimatedMinutes"":720,""assigned"":{""2025-11-29"":23,""2025-11-26"":24,""2025-12-02"":22,""2025-11-25"":25,""2025-11-28"":23,""2025-11-24"":23,""2025-12-04"":26,""2025-11-27"":25,""2025-12-09"":27,""2025-11-30"":25,""2025-12-05"":26},""assignedMinutes"":"""",""labelId"":"""",""eacDate"":""2026-01-18"",""spi7d"":0.3,""actualLogs"":{""2025-11-30"":40,""2025-12-05"":1,""2025-12-07"":20,""2025-11-28"":28,""2025-11-24"":90,""2025-11-29"":35,""2025-12-01"":60,""2025-11-25"":30},""text"":""TCE"",""morningSummaryLastDate"":"""",""createdAt"":""2025-11-20T07:04:10.542Z"",""lastProgressAt"":""2025-12-07T00:56:06.762Z"",""completed"":false,""spiExp"":0,""requiredPace"":34.7,""riskLevel"":""late"",""unallocatedMinutes"":""""}","[""actualTotalMinutes"",""actualLogs.2025-12-10""]",add-actual-from-todo-list,2025-12-10T07:12:48.104Z
todos/RzRotmx1X9OzjqCFdaCU/history/f5OXUqnHy7ADovJpjxXb,f5OXUqnHy7ADovJpjxXb,"{""id"":""RzRotmx1X9OzjqCFdaCU"",""requiredPaceAdj"":38,""lastProgressAt"":""2025-12-07T00:56:06.762Z"",""pace7d"":75,""morningSummaryLastDate"":"""",""deadline"":""2025-12-20T09:00:00.000Z"",""actualProgress"":0.63,""assigned"":{""2025-11-30"":25,""2025-12-05"":26,""2025-11-24"":23,""2025-11-27"":25,""2025-12-02"":22,""2025-11-25"":25,""2025-11-29"":23,""2025-12-09"":27,""2025-11-28"":23,""2025-11-26"":24,""2025-12-04"":26},""paceExp"":30.1,""spiAdj"":1.97,""labelId"":"""",""morningSummaryNotified"":false,""dailyProgress"":{},""requiredPace"":38,""dailyAssignments"":[],""actualLogs"":{""2025-12-14"":30,""2025-11-28"":28,""2025-12-01"":60,""2025-12-10"":120,""2025-11-24"":90,""2025-12-07"":20,""2025-12-05"":1,""2025-11-25"":30,""2025-11-30"":40,""2025-11-29"":35,""2025-12-16"":266},""statsUpdatedAt"":""2025-12-14T05:59:54.842Z"",""morningSummaryNotifiedAt"":"""",""eacDate"":""2025-12-18"",""dailyPlanGeneratedAt"":"""",""text"":""TCE"",""spiExp"":0.79,""riskLevel"":""ok"",""spi"":1.97,""estimatedMinutes"":720,""createdAt"":""2025-11-20T07:04:10.542Z"",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""actualTotalMinutes"":720,""spi7d"":1.97,""unallocatedMinutes"":"""",""completed"":true,""idealProgress"":0.77,""assignedMinutes"":"""",""completedAt"":""2025-12-16T01:32:50.937Z""}","{""id"":""RzRotmx1X9OzjqCFdaCU"",""requiredPaceAdj"":38,""lastProgressAt"":""2025-12-07T00:56:06.762Z"",""pace7d"":75,""morningSummaryLastDate"":"""",""deadline"":""2025-12-20T09:00:00.000Z"",""actualProgress"":0.63,""assigned"":{""2025-11-30"":25,""2025-12-05"":26,""2025-11-24"":23,""2025-11-27"":25,""2025-12-02"":22,""2025-11-25"":25,""2025-11-29"":23,""2025-12-09"":27,""2025-11-28"":23,""2025-11-26"":24,""2025-12-04"":26},""paceExp"":30.1,""spiAdj"":1.97,""labelId"":"""",""morningSummaryNotified"":false,""dailyProgress"":{},""requiredPace"":38,""dailyAssignments"":[],""actualLogs"":{""2025-12-14"":30,""2025-11-28"":28,""2025-12-01"":60,""2025-12-10"":120,""2025-11-24"":90,""2025-12-07"":20,""2025-12-05"":1,""2025-11-25"":30,""2025-11-30"":40,""2025-11-29"":35},""statsUpdatedAt"":""2025-12-14T05:59:54.842Z"",""morningSummaryNotifiedAt"":"""",""eacDate"":""2025-12-18"",""dailyPlanGeneratedAt"":"""",""text"":""TCE"",""spiExp"":0.79,""riskLevel"":""ok"",""spi"":1.97,""estimatedMinutes"":720,""createdAt"":""2025-11-20T07:04:10.542Z"",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""actualTotalMinutes"":454,""spi7d"":1.97,""unallocatedMinutes"":"""",""completed"":false,""idealProgress"":0.77,""assignedMinutes"":""""}","[""completed"",""completedAt"",""actualTotalMinutes"",""actualLogs.2025-12-16""]",complete-todo,2025-12-16T01:32:50.937Z
todos/RzRotmx1X9OzjqCFdaCU/history/vD6gwLKQ5hV8xLMSps6q,vD6gwLKQ5hV8xLMSps6q,"{""id"":""RzRotmx1X9OzjqCFdaCU"",""riskLevel"":""late"",""morningSummaryNotified"":false,""spiAdj"":0.4,""completed"":false,""createdAt"":""2025-11-20T07:04:10.542Z"",""labelId"":"""",""lastProgressAt"":""2025-12-07T00:56:06.762Z"",""pace7d"":11.6,""spi7d"":0.36,""actualTotalMinutes"":424,""idealProgress"":0.68,""deadline"":""2025-12-20T09:00:00.000Z"",""actualProgress"":0.51,""requiredPace"":32.4,""morningSummaryLastDate"":"""",""estimatedMinutes"":720,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""text"":""TCE"",""dailyAssignments"":[],""paceExp"":59.9,""actualLogs"":{""2025-12-10"":120,""2025-11-29"":35,""2025-11-30"":40,""2025-11-25"":30,""2025-12-05"":1,""2025-11-28"":28,""2025-11-24"":90,""2025-12-01"":60,""2025-12-07"":20},""assignedMinutes"":"""",""unallocatedMinutes"":"""",""statsUpdatedAt"":""2025-12-10T07:13:01.929Z"",""eacDate"":""2026-01-10"",""dailyPlanGeneratedAt"":"""",""dailyProgress"":{},""spi"":0.36,""requiredPaceAdj"":29.1,""assigned"":{""2025-11-29"":23,""2025-11-30"":25,""2025-11-28"":23,""2025-11-27"":25,""2025-12-04"":26,""2025-12-05"":26,""2025-11-26"":24,""2025-12-09"":27,""2025-11-25"":25,""2025-11-24"":23,""2025-12-02"":22},""morningSummaryNotifiedAt"":"""",""spiExp"":1.85}","{""id"":""RzRotmx1X9OzjqCFdaCU"",""riskLevel"":""late"",""morningSummaryNotified"":false,""spiAdj"":0.4,""completed"":false,""createdAt"":""2025-11-20T07:04:10.542Z"",""labelId"":"""",""lastProgressAt"":""2025-12-07T00:56:06.762Z"",""pace7d"":11.6,""spi7d"":0.36,""actualTotalMinutes"":364,""idealProgress"":0.68,""deadline"":""2025-12-20T09:00:00.000Z"",""actualProgress"":0.51,""requiredPace"":32.4,""morningSummaryLastDate"":"""",""estimatedMinutes"":720,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""text"":""TCE"",""dailyAssignments"":[],""paceExp"":59.9,""actualLogs"":{""2025-12-10"":60,""2025-11-29"":35,""2025-11-30"":40,""2025-11-25"":30,""2025-12-05"":1,""2025-11-28"":28,""2025-11-24"":90,""2025-12-01"":60,""2025-12-07"":20},""assignedMinutes"":"""",""unallocatedMinutes"":"""",""statsUpdatedAt"":""2025-12-10T07:13:01.929Z"",""eacDate"":""2026-01-10"",""dailyPlanGeneratedAt"":"""",""dailyProgress"":{},""spi"":0.36,""requiredPaceAdj"":29.1,""assigned"":{""2025-11-29"":23,""2025-11-30"":25,""2025-11-28"":23,""2025-11-27"":25,""2025-12-04"":26,""2025-12-05"":26,""2025-11-26"":24,""2025-12-09"":27,""2025-11-25"":25,""2025-11-24"":23,""2025-12-02"":22},""morningSummaryNotifiedAt"":"""",""spiExp"":1.85}","[""actualTotalMinutes"",""actualLogs.2025-12-10""]",add-actual-from-todo-list,2025-12-10T12:02:23.388Z
