__docPath,__docId,createdAt,date,minutes,source,trigger
todos/LZcCtTroo4OcXLOZCSjS/sessions/77RxKVEkJ3GUbhmfjnfW,77RxKVEkJ3GUbhmfjnfW,2025-10-19T21:37:44.717Z,2025-10-18,15,manual,log-editor
todos/LZcCtTroo4OcXLOZCSjS/sessions/GdoE28nuvIdNOXJN9vQI,GdoE28nuvIdNOXJN9vQI,2025-10-19T18:49:03.780Z,2025-10-20,60,manual,manual
todos/LZcCtTroo4OcXLOZCSjS/sessions/b4HjONAr0ZiMhqucsNEu,b4HjONAr0ZiMhqucsNEu,2025-10-19T21:37:17.287Z,2025-10-19,30,manual,log-editor
todos/LZcCtTroo4OcXLOZCSjS/sessions/mp3Iwwqjd9zZfWyokI4Q,mp3Iwwqjd9zZfWyokI4Q,2025-10-19T21:36:42.716Z,2025-10-20,15,manual,log-editor
