__docPath,__docId,countdownEnabled,inactiveNudgeEnabled,morningSummaryTime,progressReminderTime,riskNotifyEnabled,skipWeekends,updatedAt,workEnd,workStart
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/settings/app,app,,,,,,true,2025-10-01T07:02:22.260Z,10:30,09:30
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/settings/notification,notification,true,true,09:30,21:00,true,,,,
