__docPath,__docId,createdAt,date,minutes,source,trigger
todos/qqno5R8Kz2aCKyUhqk3A/sessions/WzIopJFjfsFmO7ScEorT,WzIopJFjfsFmO7ScEorT,2025-11-24T05:57:54.884Z,2025-11-24,40,manual,list
todos/qqno5R8Kz2aCKyUhqk3A/sessions/b1B9w6ObzaW4c7ottovZ,b1B9w6ObzaW4c7ottovZ,2025-11-24T05:57:42.013Z,2025-11-24,1,manual,log-editor
