__docPath,__docId,createdAt,date,minutes,source,trigger
todos/53EIH4uY2PeAUhQgrVkk/sessions/160jKng4uFKBIfbh6Tj7,160jKng4uFKBIfbh6Tj7,2025-10-19T20:24:24.242Z,2025-10-16,20,manual,log-editor
todos/53EIH4uY2PeAUhQgrVkk/sessions/rDUhvKrhO5nAXovj1z2o,rDUhvKrhO5nAXovj1z2o,2025-10-19T20:26:39.234Z,2025-10-20,120,manual,log-editor
todos/53EIH4uY2PeAUhQgrVkk/sessions/ti7RRD84UNjJTLqZ28ax,ti7RRD84UNjJTLqZ28ax,2025-10-19T20:26:07.774Z,2025-10-19,90,manual,log-editor
todos/53EIH4uY2PeAUhQgrVkk/sessions/zrm6UDR8HuOXVA99kASq,zrm6UDR8HuOXVA99kASq,2025-10-19T20:25:30.697Z,2025-10-18,30,manual,log-editor
