__docPath,__docId,createdAt,date,minutes,source,trigger
todos/GdpMP4ygx3WGv0E4ehQQ/sessions/KYKiaEWZneJKFX10tbTb,KYKiaEWZneJKFX10tbTb,2025-10-21T07:35:36.351Z,2025-10-21,10,manual,list
todos/GdpMP4ygx3WGv0E4ehQQ/sessions/QDY9HDndLvVsVwWwyZO7,QDY9HDndLvVsVwWwyZO7,2025-10-21T07:01:52.960Z,2025-10-21,30,manual,list
todos/GdpMP4ygx3WGv0E4ehQQ/sessions/SJlT6e7C9smYA82HvSvp,SJlT6e7C9smYA82HvSvp,2025-10-21T07:33:16.960Z,2025-10-21,5,manual,list
todos/GdpMP4ygx3WGv0E4ehQQ/sessions/YTwheI3c5bfCm7RZHgIU,YTwheI3c5bfCm7RZHgIU,2025-10-21T07:21:56.830Z,2025-10-21,5,manual,list
