__docPath,__docId,after,before,changedFields,context,createdAt
todos/rJOWMdXZYNtZYlxrpsFG/history/5hSHeTou7iyt1DVtSPhf,5hSHeTou7iyt1DVtSPhf,"{""id"":""rJOWMdXZYNtZYlxrpsFG"",""assignedMinutes"":"""",""estimatedMinutes"":90,""text"":""logana-slide"",""dailyAssignments"":[],""spi"":0,""actualProgress"":0,""deadline"":""2025-12-23T09:00:00.000Z"",""statsUpdatedAt"":""2025-12-09T04:22:58.055Z"",""completed"":false,""idealProgress"":0.07,""morningSummaryNotified"":false,""riskLevel"":""warn"",""labelId"":"""",""spiExp"":0,""requiredPace"":6,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""spiAdj"":0,""morningSummaryLastDate"":"""",""createdAt"":""2025-12-09T04:22:57.042Z"",""unallocatedMinutes"":"""",""spi7d"":0,""actualTotalMinutes"":10,""plannedStart"":"""",""requiredPaceAdj"":5.4,""morningSummaryNotifiedAt"":"""",""dailyProgress"":{},""dailyPlanGeneratedAt"":"""",""actualLogs"":{""2025-12-10"":10}}","{""id"":""rJOWMdXZYNtZYlxrpsFG"",""assignedMinutes"":"""",""estimatedMinutes"":90,""text"":""logana-slide"",""dailyAssignments"":[],""spi"":0,""actualProgress"":0,""deadline"":""2025-12-23T09:00:00.000Z"",""statsUpdatedAt"":""2025-12-09T04:22:58.055Z"",""completed"":false,""idealProgress"":0.07,""morningSummaryNotified"":false,""riskLevel"":""warn"",""labelId"":"""",""spiExp"":0,""requiredPace"":6,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""spiAdj"":0,""morningSummaryLastDate"":"""",""createdAt"":""2025-12-09T04:22:57.042Z"",""unallocatedMinutes"":"""",""spi7d"":0,""actualTotalMinutes"":0,""plannedStart"":"""",""requiredPaceAdj"":5.4,""morningSummaryNotifiedAt"":"""",""dailyProgress"":{},""dailyPlanGeneratedAt"":""""}","[""actualTotalMinutes"",""actualLogs.2025-12-10""]",add-actual-from-todo-list,2025-12-10T07:12:59.706Z
todos/rJOWMdXZYNtZYlxrpsFG/history/IwMmT0pngmgZ9yPF8Q8L,IwMmT0pngmgZ9yPF8Q8L,"{""id"":""rJOWMdXZYNtZYlxrpsFG"",""pace7d"":10,""unallocatedMinutes"":"""",""morningSummaryLastDate"":"""",""requiredPace"":10,""dailyProgress"":{},""actualTotalMinutes"":20,""createdAt"":""2025-12-09T04:22:57.042Z"",""estimatedMinutes"":90,""idealProgress"":0.47,""text"":""logana-slide"",""actualLogs"":{""2025-12-10"":10,""2025-12-16"":10},""labelId"":"""",""eacDate"":""2025-12-24"",""statsUpdatedAt"":""2025-12-16T00:30:08.864Z"",""morningSummaryNotified"":false,""assignedMinutes"":"""",""requiredPaceAdj"":10,""spiAdj"":1,""completed"":false,""spiExp"":0.01,""actualProgress"":0.11,""morningSummaryNotifiedAt"":"""",""plannedStart"":"""",""paceExp"":0.1,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""spi"":1,""spi7d"":1,""assigned"":{""2025-12-16"":6},""riskLevel"":""late"",""deadline"":""2025-12-23T09:00:00.000Z"",""dailyPlanGeneratedAt"":"""",""dailyAssignments"":[]}","{""id"":""rJOWMdXZYNtZYlxrpsFG"",""pace7d"":10,""unallocatedMinutes"":"""",""morningSummaryLastDate"":"""",""requiredPace"":10,""dailyProgress"":{},""actualTotalMinutes"":10,""createdAt"":""2025-12-09T04:22:57.042Z"",""estimatedMinutes"":90,""idealProgress"":0.47,""text"":""logana-slide"",""actualLogs"":{""2025-12-10"":10},""labelId"":"""",""eacDate"":""2025-12-24"",""statsUpdatedAt"":""2025-12-16T00:30:08.864Z"",""morningSummaryNotified"":false,""assignedMinutes"":"""",""requiredPaceAdj"":10,""spiAdj"":1,""completed"":false,""spiExp"":0.01,""actualProgress"":0.11,""morningSummaryNotifiedAt"":"""",""plannedStart"":"""",""paceExp"":0.1,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""spi"":1,""spi7d"":1,""assigned"":{""2025-12-16"":6},""riskLevel"":""late"",""deadline"":""2025-12-23T09:00:00.000Z"",""dailyPlanGeneratedAt"":"""",""dailyAssignments"":[]}","[""actualTotalMinutes"",""actualLogs.2025-12-16""]",add-actual-from-todo-list,2025-12-16T08:32:08.805Z
todos/rJOWMdXZYNtZYlxrpsFG/history/J4No1SXwgqJqdbuDKAsL,J4No1SXwgqJqdbuDKAsL,"{""id"":""rJOWMdXZYNtZYlxrpsFG"",""paceExp"":9.9,""createdAt"":""2025-12-09T04:22:57.042Z"",""dailyProgress"":{},""plannedStart"":"""",""text"":""logana-slide"",""riskLevel"":""ok"",""statsUpdatedAt"":""2025-12-16T08:32:30.208Z"",""spiAdj"":1.14,""assigned"":{""2025-12-16"":6},""estimatedMinutes"":90,""spiExp"":1.13,""idealProgress"":0.53,""morningSummaryNotified"":false,""actualProgress"":0.22,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""requiredPaceAdj"":8.8,""morningSummaryNotifiedAt"":"""",""dailyAssignments"":[],""assignedMinutes"":"""",""unallocatedMinutes"":"""",""spi"":1.14,""dailyPlanGeneratedAt"":"""",""completed"":false,""labelId"":"""",""pace7d"":10,""spi7d"":1.14,""requiredPace"":8.8,""actualTotalMinutes"":25,""eacDate"":""2025-12-23"",""morningSummaryLastDate"":"""",""actualLogs"":{""2025-12-10"":10,""2025-12-16"":15},""deadline"":""2025-12-23T09:00:00.000Z""}","{""id"":""rJOWMdXZYNtZYlxrpsFG"",""paceExp"":9.9,""createdAt"":""2025-12-09T04:22:57.042Z"",""dailyProgress"":{},""plannedStart"":"""",""text"":""logana-slide"",""riskLevel"":""ok"",""statsUpdatedAt"":""2025-12-16T08:32:30.208Z"",""spiAdj"":1.14,""assigned"":{""2025-12-16"":6},""estimatedMinutes"":90,""spiExp"":1.13,""idealProgress"":0.53,""morningSummaryNotified"":false,""actualProgress"":0.22,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""requiredPaceAdj"":8.8,""morningSummaryNotifiedAt"":"""",""dailyAssignments"":[],""assignedMinutes"":"""",""unallocatedMinutes"":"""",""spi"":1.14,""dailyPlanGeneratedAt"":"""",""completed"":false,""labelId"":"""",""pace7d"":10,""spi7d"":1.14,""requiredPace"":8.8,""actualTotalMinutes"":20,""eacDate"":""2025-12-23"",""morningSummaryLastDate"":"""",""actualLogs"":{""2025-12-10"":10,""2025-12-16"":10},""deadline"":""2025-12-23T09:00:00.000Z""}","[""actualTotalMinutes"",""actualLogs.2025-12-16""]",add-actual-from-todo-list,2025-12-16T08:39:14.003Z
