__docPath,__docId,after,before,changedFields,context,createdAt
todos/WENaj13RWJSra5tVQdBe/history/7XYDI5TNYZxDMw4tScKd,7XYDI5TNYZxDMw4tScKd,"{""id"":""WENaj13RWJSra5tVQdBe"",""unallocatedMinutes"":"""",""spi"":0,""requiredPaceAdj"":9.8,""assignedMinutes"":"""",""morningSummaryNotifiedAt"":"""",""actualTotalMinutes"":5,""actualProgress"":0,""requiredPace"":10.9,""completed"":false,""dailyProgress"":{},""text"":""1907掃除"",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""riskLevel"":""warn"",""assigned"":{""2025-12-02"":6,""2025-12-06"":7,""2025-12-09"":9,""2025-12-04"":7,""2025-12-03"":6,""2025-12-01"":6,""2025-12-07"":8,""2025-12-08"":8,""2025-12-05"":7},""plannedStart"":"""",""spi7d"":0,""spiAdj"":0,""statsUpdatedAt"":""2025-12-09T00:36:29.321Z"",""createdAt"":""2025-12-01T05:05:15.175Z"",""morningSummaryLastDate"":"""",""deadline"":""2025-12-19T09:00:00.000Z"",""dailyAssignments"":[],""morningSummaryNotified"":false,""dailyPlanGeneratedAt"":"""",""spiExp"":0,""estimatedMinutes"":120,""labelId"":"""",""idealProgress"":0.42,""actualLogs"":{""2025-12-10"":5}}","{""id"":""WENaj13RWJSra5tVQdBe"",""unallocatedMinutes"":"""",""spi"":0,""requiredPaceAdj"":9.8,""assignedMinutes"":"""",""morningSummaryNotifiedAt"":"""",""actualTotalMinutes"":0,""actualProgress"":0,""requiredPace"":10.9,""completed"":false,""dailyProgress"":{},""text"":""1907掃除"",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""riskLevel"":""warn"",""assigned"":{""2025-12-02"":6,""2025-12-06"":7,""2025-12-09"":9,""2025-12-04"":7,""2025-12-03"":6,""2025-12-01"":6,""2025-12-07"":8,""2025-12-08"":8,""2025-12-05"":7},""plannedStart"":"""",""spi7d"":0,""spiAdj"":0,""statsUpdatedAt"":""2025-12-09T00:36:29.321Z"",""createdAt"":""2025-12-01T05:05:15.175Z"",""morningSummaryLastDate"":"""",""deadline"":""2025-12-19T09:00:00.000Z"",""dailyAssignments"":[],""morningSummaryNotified"":false,""dailyPlanGeneratedAt"":"""",""spiExp"":0,""estimatedMinutes"":120,""labelId"":"""",""idealProgress"":0.42}","[""actualTotalMinutes"",""actualLogs.2025-12-10""]",add-actual-from-todo-list,2025-12-10T07:12:31.637Z
todos/WENaj13RWJSra5tVQdBe/history/GQoSQp8lDbX0rwRebIRY,GQoSQp8lDbX0rwRebIRY,"{""id"":""WENaj13RWJSra5tVQdBe"",""createdAt"":""2025-12-01T05:05:15.175Z"",""requiredPaceAdj"":21.4,""actualProgress"":0.21,""dailyAssignments"":[],""text"":""1907掃除"",""spi7d"":0.53,""actualTotalMinutes"":30,""labelId"":"""",""paceExp"":0.1,""morningSummaryNotified"":false,""dailyProgress"":{},""spiAdj"":0.58,""statsUpdatedAt"":""2025-12-16T00:30:10.727Z"",""plannedStart"":"""",""idealProgress"":0.79,""requiredPace"":23.8,""actualLogs"":{""2025-12-10"":5,""2025-12-15"":20,""2025-12-17"":5},""assigned"":{""2025-12-03"":6,""2025-12-02"":6,""2025-12-01"":6,""2025-12-05"":7,""2025-12-06"":7,""2025-12-08"":8,""2025-12-04"":7,""2025-12-07"":8,""2025-12-16"":17,""2025-12-09"":9},""assignedMinutes"":"""",""morningSummaryLastDate"":"""",""spi"":0.53,""eacDate"":""2025-12-24"",""completed"":false,""spiExp"":0,""riskLevel"":""late"",""unallocatedMinutes"":"""",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""pace7d"":12.5,""morningSummaryNotifiedAt"":"""",""estimatedMinutes"":120,""deadline"":""2025-12-19T09:00:00.000Z"",""dailyPlanGeneratedAt"":""""}","{""id"":""WENaj13RWJSra5tVQdBe"",""createdAt"":""2025-12-01T05:05:15.175Z"",""requiredPaceAdj"":21.4,""actualProgress"":0.21,""dailyAssignments"":[],""text"":""1907掃除"",""spi7d"":0.53,""actualTotalMinutes"":25,""labelId"":"""",""paceExp"":0.1,""morningSummaryNotified"":false,""dailyProgress"":{},""spiAdj"":0.58,""statsUpdatedAt"":""2025-12-16T00:30:10.727Z"",""plannedStart"":"""",""idealProgress"":0.79,""requiredPace"":23.8,""actualLogs"":{""2025-12-10"":5,""2025-12-15"":20},""assigned"":{""2025-12-03"":6,""2025-12-02"":6,""2025-12-01"":6,""2025-12-05"":7,""2025-12-06"":7,""2025-12-08"":8,""2025-12-04"":7,""2025-12-07"":8,""2025-12-16"":17,""2025-12-09"":9},""assignedMinutes"":"""",""morningSummaryLastDate"":"""",""spi"":0.53,""eacDate"":""2025-12-24"",""completed"":false,""spiExp"":0,""riskLevel"":""late"",""unallocatedMinutes"":"""",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""pace7d"":12.5,""morningSummaryNotifiedAt"":"""",""estimatedMinutes"":120,""deadline"":""2025-12-19T09:00:00.000Z"",""dailyPlanGeneratedAt"":""""}","[""actualTotalMinutes"",""actualLogs.2025-12-17""]",add-actual-from-todo-list,2025-12-17T00:43:28.994Z
todos/WENaj13RWJSra5tVQdBe/history/fvL6IwkwB0SB1t1rkaLH,fvL6IwkwB0SB1t1rkaLH,"{""id"":""WENaj13RWJSra5tVQdBe"",""actualLogs"":{""2025-12-10"":5,""2025-12-15"":10},""morningSummaryLastDate"":"""",""text"":""1907掃除"",""completed"":false,""unallocatedMinutes"":"""",""idealProgress"":0.53,""assignedMinutes"":"""",""labelId"":"""",""estimatedMinutes"":120,""requiredPace"":11.5,""eacDate"":""2026-01-02"",""deadline"":""2025-12-19T09:00:00.000Z"",""spiExp"":0.43,""spiAdj"":0.48,""morningSummaryNotified"":false,""assigned"":{""2025-12-09"":9,""2025-12-01"":6,""2025-12-08"":8,""2025-12-03"":6,""2025-12-04"":7,""2025-12-05"":7,""2025-12-07"":8,""2025-12-06"":7,""2025-12-02"":6},""actualTotalMinutes"":15,""dailyPlanGeneratedAt"":"""",""morningSummaryNotifiedAt"":"""",""createdAt"":""2025-12-01T05:05:15.175Z"",""spi7d"":0.43,""dailyAssignments"":[],""actualProgress"":0.04,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""pace7d"":5,""dailyProgress"":{},""statsUpdatedAt"":""2025-12-10T07:12:54.664Z"",""paceExp"":4.9,""plannedStart"":"""",""spi"":0.43,""riskLevel"":""late"",""requiredPaceAdj"":10.4}","{""id"":""WENaj13RWJSra5tVQdBe"",""actualLogs"":{""2025-12-10"":5},""morningSummaryLastDate"":"""",""text"":""1907掃除"",""completed"":false,""unallocatedMinutes"":"""",""idealProgress"":0.53,""assignedMinutes"":"""",""labelId"":"""",""estimatedMinutes"":120,""requiredPace"":11.5,""eacDate"":""2026-01-02"",""deadline"":""2025-12-19T09:00:00.000Z"",""spiExp"":0.43,""spiAdj"":0.48,""morningSummaryNotified"":false,""assigned"":{""2025-12-09"":9,""2025-12-01"":6,""2025-12-08"":8,""2025-12-03"":6,""2025-12-04"":7,""2025-12-05"":7,""2025-12-07"":8,""2025-12-06"":7,""2025-12-02"":6},""actualTotalMinutes"":5,""dailyPlanGeneratedAt"":"""",""morningSummaryNotifiedAt"":"""",""createdAt"":""2025-12-01T05:05:15.175Z"",""spi7d"":0.43,""dailyAssignments"":[],""actualProgress"":0.04,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""pace7d"":5,""dailyProgress"":{},""statsUpdatedAt"":""2025-12-10T07:12:54.664Z"",""paceExp"":4.9,""plannedStart"":"""",""spi"":0.43,""riskLevel"":""late"",""requiredPaceAdj"":10.4}","[""actualTotalMinutes"",""actualLogs.2025-12-15""]",add-actual-from-todo-list,2025-12-15T00:51:52.457Z
todos/WENaj13RWJSra5tVQdBe/history/rNCLD5uoYE4sHfVVJH5Y,rNCLD5uoYE4sHfVVJH5Y,"{""id"":""WENaj13RWJSra5tVQdBe"",""morningSummaryNotifiedAt"":"""",""completed"":false,""paceExp"":9.9,""spiAdj"":0.4,""assigned"":{""2025-12-07"":8,""2025-12-09"":9,""2025-12-03"":6,""2025-12-06"":7,""2025-12-04"":7,""2025-12-08"":8,""2025-12-02"":6,""2025-12-05"":7,""2025-12-01"":6},""morningSummaryNotified"":false,""createdAt"":""2025-12-01T05:05:15.175Z"",""pace7d"":7.5,""requiredPaceAdj"":18.9,""dailyProgress"":{},""spiExp"":0.47,""dailyPlanGeneratedAt"":"""",""riskLevel"":""late"",""spi7d"":0.36,""actualTotalMinutes"":25,""morningSummaryLastDate"":"""",""unallocatedMinutes"":"""",""requiredPace"":21,""assignedMinutes"":"""",""labelId"":"""",""estimatedMinutes"":120,""eacDate"":""2025-12-29"",""actualLogs"":{""2025-12-10"":5,""2025-12-15"":20},""plannedStart"":"""",""statsUpdatedAt"":""2025-12-15T00:52:10.696Z"",""spi"":0.36,""deadline"":""2025-12-19T09:00:00.000Z"",""idealProgress"":0.74,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""text"":""1907掃除"",""actualProgress"":0.13,""dailyAssignments"":[]}","{""id"":""WENaj13RWJSra5tVQdBe"",""morningSummaryNotifiedAt"":"""",""completed"":false,""paceExp"":9.9,""spiAdj"":0.4,""assigned"":{""2025-12-07"":8,""2025-12-09"":9,""2025-12-03"":6,""2025-12-06"":7,""2025-12-04"":7,""2025-12-08"":8,""2025-12-02"":6,""2025-12-05"":7,""2025-12-01"":6},""morningSummaryNotified"":false,""createdAt"":""2025-12-01T05:05:15.175Z"",""pace7d"":7.5,""requiredPaceAdj"":18.9,""dailyProgress"":{},""spiExp"":0.47,""dailyPlanGeneratedAt"":"""",""riskLevel"":""late"",""spi7d"":0.36,""actualTotalMinutes"":15,""morningSummaryLastDate"":"""",""unallocatedMinutes"":"""",""requiredPace"":21,""assignedMinutes"":"""",""labelId"":"""",""estimatedMinutes"":120,""eacDate"":""2025-12-29"",""actualLogs"":{""2025-12-10"":5,""2025-12-15"":10},""plannedStart"":"""",""statsUpdatedAt"":""2025-12-15T00:52:10.696Z"",""spi"":0.36,""deadline"":""2025-12-19T09:00:00.000Z"",""idealProgress"":0.74,""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""text"":""1907掃除"",""actualProgress"":0.13,""dailyAssignments"":[]}","[""actualTotalMinutes"",""actualLogs.2025-12-15""]",add-actual-from-todo-list,2025-12-15T04:01:01.334Z
