__docPath,__docId,createdAt,date,minutes,source,trigger
todos/PMlKDTosFFAwOZY964VQ/sessions/0qUVojlx8fUfYFg3SIZG,0qUVojlx8fUfYFg3SIZG,2025-12-01T05:32:01.913Z,2025-12-01,720,manual,list
todos/PMlKDTosFFAwOZY964VQ/sessions/6rzslNmYx91B1qB0lNyo,6rzslNmYx91B1qB0lNyo,2025-12-01T05:32:29.782Z,2025-12-01,0,manual,log-editor
todos/PMlKDTosFFAwOZY964VQ/sessions/GyB7yobFdaVkyt0IDxCM,GyB7yobFdaVkyt0IDxCM,2025-12-08T20:11:41.546Z,2025-12-09,0,manual,log-editor
todos/PMlKDTosFFAwOZY964VQ/sessions/H3ELfXwiBsmihULGVCzN,H3ELfXwiBsmihULGVCzN,2025-12-08T20:14:07.163Z,2025-12-09,60,manual,manual
todos/PMlKDTosFFAwOZY964VQ/sessions/Xm1HoDMqNNLKTetjZubp,Xm1HoDMqNNLKTetjZubp,2025-11-28T07:08:40.499Z,2025-11-27,120,manual,log-editor
todos/PMlKDTosFFAwOZY964VQ/sessions/Y9iFzFOPxejtyRhMbqww,Y9iFzFOPxejtyRhMbqww,2025-12-08T20:18:30.847Z,2025-12-09,0,manual,log-editor
todos/PMlKDTosFFAwOZY964VQ/sessions/oAD7emKvsCF8YrPWOJko,oAD7emKvsCF8YrPWOJko,2025-11-28T07:08:56.481Z,2025-11-28,60,manual,log-editor
todos/PMlKDTosFFAwOZY964VQ/sessions/rv0U0dOVmgfsxDfTVPoc,rv0U0dOVmgfsxDfTVPoc,2025-12-08T19:35:03.061Z,2025-12-09,150,manual,manual
