__docPath,__docId,color,createdAt,name
users/EyQHdJounoeN8h11wqvbDmuNK2j2/labels/5kY3wivN6w4CWMKIOLro,5kY3wivN6w4CWMKIOLro,#607d8b,2025-09-23T06:03:58.055Z,彼女
users/EyQHdJounoeN8h11wqvbDmuNK2j2/labels/8ok89dIHBxNSI9HpEBKW,8ok89dIHBxNSI9HpEBKW,#607c8a,2025-09-23T06:05:14.501Z,重要
users/EyQHdJounoeN8h11wqvbDmuNK2j2/labels/dMIzdFUufBruWWHKggRn,dMIzdFUufBruWWHKggRn,#ff9800,2025-09-23T06:03:33.197Z,バイト
users/EyQHdJounoeN8h11wqvbDmuNK2j2/labels/fGo98tldXrnaskQzfqwe,fGo98tldXrnaskQzfqwe,#4caf50,2025-09-23T06:03:50.049Z,予定
users/EyQHdJounoeN8h11wqvbDmuNK2j2/labels/unyFUKnRFIesHrX4bg4W,unyFUKnRFIesHrX4bg4W,#ff007b,2025-09-23T06:02:53.374Z,大学
