__docPath,__docId,after,before,changedFields,context,createdAt
todos/PMlKDTosFFAwOZY964VQ/history/97LiMU00TsZFSqQoGy8x,97LiMU00TsZFSqQoGy8x,"{""id"":""PMlKDTosFFAwOZY964VQ"",""morningSummaryNotified"":false,""text"":""テスト1"",""lastProgressAt"":""2025-12-08T20:14:07.126Z"",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""dailyProgress"":{},""riskLevel"":""late"",""deadline"":""2025-12-16T16:00:00.000Z"",""createdAt"":""2025-11-28T07:08:04.640Z"",""actualLogs"":{""2025-12-09"":0,""2025-11-27"":120,""2025-11-28"":60,""2025-12-01"":0},""assigned"":{""2025-12-08"":54,""2025-12-05"":54,""2025-12-09"":74},""plannedStart"":"""",""paceExp"":59.9,""morningSummaryNotifiedAt"":"""",""actualProgress"":0.27,""completed"":false,""requiredPace"":82.5,""actualTotalMinutes"":180,""unallocatedMinutes"":"""",""assignedMinutes"":"""",""spi7d"":0.73,""morningSummaryLastDate"":"""",""eacDate"":""2025-12-20"",""requiredPaceAdj"":74.3,""spiAdj"":0.81,""spi"":0.73,""dailyAssignments"":[],""labelId"":"""",""idealProgress"":0.58,""dailyPlanGeneratedAt"":"""",""spiExp"":0.73,""estimatedMinutes"":900,""statsUpdatedAt"":""2025-12-08T20:14:17.382Z"",""pace7d"":60,""minutes"":60}","{""id"":""PMlKDTosFFAwOZY964VQ"",""morningSummaryNotified"":false,""text"":""テスト1"",""lastProgressAt"":""2025-12-08T20:14:07.126Z"",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""dailyProgress"":{},""riskLevel"":""late"",""deadline"":""2025-12-16T16:00:00.000Z"",""createdAt"":""2025-11-28T07:08:04.640Z"",""actualLogs"":{""2025-12-09"":60,""2025-11-27"":120,""2025-11-28"":60,""2025-12-01"":0},""assigned"":{""2025-12-08"":54,""2025-12-05"":54,""2025-12-09"":74},""plannedStart"":"""",""paceExp"":59.9,""morningSummaryNotifiedAt"":"""",""actualProgress"":0.27,""completed"":false,""requiredPace"":82.5,""actualTotalMinutes"":240,""unallocatedMinutes"":"""",""assignedMinutes"":"""",""spi7d"":0.73,""morningSummaryLastDate"":"""",""eacDate"":""2025-12-20"",""requiredPaceAdj"":74.3,""spiAdj"":0.81,""spi"":0.73,""dailyAssignments"":[],""labelId"":"""",""idealProgress"":0.58,""dailyPlanGeneratedAt"":"""",""spiExp"":0.73,""estimatedMinutes"":900,""statsUpdatedAt"":""2025-12-08T20:14:17.382Z"",""pace7d"":60,""minutes"":60}","[""actualTotalMinutes"",""actualLogs.2025-12-09""]",log-editor-update,2025-12-08T20:18:30.896Z
todos/PMlKDTosFFAwOZY964VQ/history/F4OzFgwQMxMOJBsXdJyx,F4OzFgwQMxMOJBsXdJyx,"{""id"":""PMlKDTosFFAwOZY964VQ"",""assignedMinutes"":"""",""actualProgress"":0.2,""spi"":0,""eacDate"":"""",""completed"":false,""assigned"":{""2025-12-08"":54,""2025-12-05"":54,""2025-12-15"":300,""2025-12-09"":81},""morningSummaryNotifiedAt"":"""",""requiredPace"":360,""createdAt"":""2025-11-28T07:08:04.640Z"",""pace7d"":0,""requiredPaceAdj"":324,""labelId"":"""",""morningSummaryNotified"":false,""estimatedMinutes"":900,""dailyPlanGeneratedAt"":"""",""idealProgress"":0.89,""spi7d"":0,""plannedStart"":"""",""riskLevel"":""warn"",""lastProgressAt"":""2025-12-08T20:14:07.126Z"",""actualTotalMinutes"":180,""statsUpdatedAt"":""2025-12-14T17:52:47.448Z"",""dailyAssignments"":[],""text"":""テスト1"",""morningSummaryLastDate"":"""",""spiExp"":0,""deadline"":""2025-12-16T16:00:00.000Z"",""actualLogs"":{""2025-11-27"":120,""2025-11-28"":60,""2025-12-01"":0,""2025-12-09"":0},""dailyProgress"":{},""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""unallocatedMinutes"":"""",""paceExp"":0.1,""spiAdj"":0,""deleted"":true,""deletedAt"":""2025-12-14T18:55:41.163Z""}","{""id"":""PMlKDTosFFAwOZY964VQ"",""assignedMinutes"":"""",""actualProgress"":0.2,""spi"":0,""eacDate"":"""",""completed"":false,""assigned"":{""2025-12-08"":54,""2025-12-05"":54,""2025-12-15"":300,""2025-12-09"":81},""morningSummaryNotifiedAt"":"""",""requiredPace"":360,""createdAt"":""2025-11-28T07:08:04.640Z"",""pace7d"":0,""requiredPaceAdj"":324,""labelId"":"""",""morningSummaryNotified"":false,""estimatedMinutes"":900,""dailyPlanGeneratedAt"":"""",""idealProgress"":0.89,""spi7d"":0,""plannedStart"":"""",""riskLevel"":""warn"",""lastProgressAt"":""2025-12-08T20:14:07.126Z"",""actualTotalMinutes"":180,""statsUpdatedAt"":""2025-12-14T17:52:47.448Z"",""dailyAssignments"":[],""text"":""テスト1"",""morningSummaryLastDate"":"""",""spiExp"":0,""deadline"":""2025-12-16T16:00:00.000Z"",""actualLogs"":{""2025-11-27"":120,""2025-11-28"":60,""2025-12-01"":0,""2025-12-09"":0},""dailyProgress"":{},""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""unallocatedMinutes"":"""",""paceExp"":0.1,""spiAdj"":0}","[""deleted"",""deletedAt""]",soft-delete,2025-12-14T18:55:41.163Z
todos/PMlKDTosFFAwOZY964VQ/history/J487cpf63lxZiYx6K6jy,J487cpf63lxZiYx6K6jy,"{""id"":""PMlKDTosFFAwOZY964VQ"",""spi"":2.11,""spiExp"":2.1,""createdAt"":""2025-11-28T07:08:04.640Z"",""pace7d"":150,""actualLogs"":{""2025-12-09"":0,""2025-11-28"":60,""2025-12-01"":0,""2025-11-27"":120},""riskLevel"":""ok"",""spi7d"":2.11,""text"":""テスト1"",""assigned"":{""2025-12-08"":54,""2025-12-09"":61,""2025-12-05"":54},""estimatedMinutes"":900,""idealProgress"":0.58,""statsUpdatedAt"":""2025-12-08T19:35:30.923Z"",""labelId"":"""",""morningSummaryLastDate"":"""",""eacDate"":""2025-12-13"",""actualTotalMinutes"":180,""plannedStart"":"""",""morningSummaryNotifiedAt"":"""",""lastProgressAt"":""2025-12-08T19:35:03.022Z"",""paceExp"":149.9,""dailyAssignments"":[],""requiredPaceAdj"":71.3,""morningSummaryNotified"":false,""deadline"":""2025-12-16T16:00:00.000Z"",""unallocatedMinutes"":"""",""spiAdj"":2.11,""assignedMinutes"":"""",""requiredPace"":71.3,""dailyPlanGeneratedAt"":"""",""actualProgress"":0.37,""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""dailyProgress"":{},""completed"":false,""minutes"":150}","{""id"":""PMlKDTosFFAwOZY964VQ"",""spi"":2.11,""spiExp"":2.1,""createdAt"":""2025-11-28T07:08:04.640Z"",""pace7d"":150,""actualLogs"":{""2025-12-09"":150,""2025-11-28"":60,""2025-12-01"":0,""2025-11-27"":120},""riskLevel"":""ok"",""spi7d"":2.11,""text"":""テスト1"",""assigned"":{""2025-12-08"":54,""2025-12-09"":61,""2025-12-05"":54},""estimatedMinutes"":900,""idealProgress"":0.58,""statsUpdatedAt"":""2025-12-08T19:35:30.923Z"",""labelId"":"""",""morningSummaryLastDate"":"""",""eacDate"":""2025-12-13"",""actualTotalMinutes"":330,""plannedStart"":"""",""morningSummaryNotifiedAt"":"""",""lastProgressAt"":""2025-12-08T19:35:03.022Z"",""paceExp"":149.9,""dailyAssignments"":[],""requiredPaceAdj"":71.3,""morningSummaryNotified"":false,""deadline"":""2025-12-16T16:00:00.000Z"",""unallocatedMinutes"":"""",""spiAdj"":2.11,""assignedMinutes"":"""",""requiredPace"":71.3,""dailyPlanGeneratedAt"":"""",""actualProgress"":0.37,""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""dailyProgress"":{},""completed"":false,""minutes"":150}","[""actualTotalMinutes"",""actualLogs.2025-12-09""]",log-editor-update,2025-12-08T20:11:41.596Z
