__docPath,__docId,after,before,changedFields,context,createdAt
todos/H4r4RS33SpOUYyMby8UI/history/eC5wcLy1om2RkerQvxU2,eC5wcLy1om2RkerQvxU2,"{""id"":""H4r4RS33SpOUYyMby8UI"",""actualTotalMinutes"":55,""plannedStart"":"""",""spiExp"":0.99,""morningSummaryLastDate"":"""",""requiredPaceAdj"":10,""dailyProgress"":{},""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""idealProgress"":0.2,""text"":""sdk"",""morningSummaryNotifiedAt"":"""",""assignedMinutes"":"""",""spiAdj"":1,""createdAt"":""2025-12-10T07:13:50.652Z"",""actualProgress"":0.11,""labelId"":"""",""morningSummaryNotified"":false,""completed"":false,""unallocatedMinutes"":"""",""pace7d"":10,""statsUpdatedAt"":""2025-12-12T01:11:03.384Z"",""requiredPace"":10,""deadline"":""2025-12-19T09:00:00.000Z"",""riskLevel"":""late"",""eacDate"":""2025-12-20"",""spi"":1,""dailyAssignments"":[],""actualLogs"":{""2025-12-12"":10,""2025-12-14"":45},""estimatedMinutes"":90,""dailyPlanGeneratedAt"":"""",""paceExp"":9.9,""spi7d"":1}","{""id"":""H4r4RS33SpOUYyMby8UI"",""actualTotalMinutes"":10,""plannedStart"":"""",""spiExp"":0.99,""morningSummaryLastDate"":"""",""requiredPaceAdj"":10,""dailyProgress"":{},""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""idealProgress"":0.2,""text"":""sdk"",""morningSummaryNotifiedAt"":"""",""assignedMinutes"":"""",""spiAdj"":1,""createdAt"":""2025-12-10T07:13:50.652Z"",""actualProgress"":0.11,""labelId"":"""",""morningSummaryNotified"":false,""completed"":false,""unallocatedMinutes"":"""",""pace7d"":10,""statsUpdatedAt"":""2025-12-12T01:11:03.384Z"",""requiredPace"":10,""deadline"":""2025-12-19T09:00:00.000Z"",""riskLevel"":""late"",""eacDate"":""2025-12-20"",""spi"":1,""dailyAssignments"":[],""actualLogs"":{""2025-12-12"":10},""estimatedMinutes"":90,""dailyPlanGeneratedAt"":"""",""paceExp"":9.9,""spi7d"":1}","[""actualTotalMinutes"",""actualLogs.2025-12-14""]",add-actual-from-todo-list,2025-12-14T05:59:26.403Z
todos/H4r4RS33SpOUYyMby8UI/history/gWkHZK6aHhuGsY4TQvlc,gWkHZK6aHhuGsY4TQvlc,"{""id"":""H4r4RS33SpOUYyMby8UI"",""spi7d"":4.71,""createdAt"":""2025-12-10T07:13:50.652Z"",""labelId"":"""",""actualProgress"":0.61,""idealProgress"":0.4,""actualLogs"":{""2025-12-12"":10,""2025-12-14"":45,""2025-12-17"":20},""morningSummaryNotified"":false,""morningSummaryLastDate"":"""",""requiredPace"":5.8,""text"":""sdk"",""completed"":false,""requiredPaceAdj"":5.8,""unallocatedMinutes"":"""",""morningSummaryNotifiedAt"":"""",""spiExp"":7.7,""estimatedMinutes"":90,""dailyProgress"":{},""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""riskLevel"":""ok"",""statsUpdatedAt"":""2025-12-14T05:59:52.349Z"",""assignedMinutes"":"""",""spiAdj"":4.71,""eacDate"":""2025-12-16"",""spi"":4.71,""actualTotalMinutes"":75,""deadline"":""2025-12-19T09:00:00.000Z"",""paceExp"":44.9,""plannedStart"":"""",""dailyPlanGeneratedAt"":"""",""pace7d"":27.5,""dailyAssignments"":[]}","{""id"":""H4r4RS33SpOUYyMby8UI"",""spi7d"":4.71,""createdAt"":""2025-12-10T07:13:50.652Z"",""labelId"":"""",""actualProgress"":0.61,""idealProgress"":0.4,""actualLogs"":{""2025-12-12"":10,""2025-12-14"":45},""morningSummaryNotified"":false,""morningSummaryLastDate"":"""",""requiredPace"":5.8,""text"":""sdk"",""completed"":false,""requiredPaceAdj"":5.8,""unallocatedMinutes"":"""",""morningSummaryNotifiedAt"":"""",""spiExp"":7.7,""estimatedMinutes"":90,""dailyProgress"":{},""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""riskLevel"":""ok"",""statsUpdatedAt"":""2025-12-14T05:59:52.349Z"",""assignedMinutes"":"""",""spiAdj"":4.71,""eacDate"":""2025-12-16"",""spi"":4.71,""actualTotalMinutes"":55,""deadline"":""2025-12-19T09:00:00.000Z"",""paceExp"":44.9,""plannedStart"":"""",""dailyPlanGeneratedAt"":"""",""pace7d"":27.5,""dailyAssignments"":[]}","[""actualTotalMinutes"",""actualLogs.2025-12-17""]",add-actual-from-todo-list,2025-12-17T04:25:28.814Z
todos/H4r4RS33SpOUYyMby8UI/history/lV87AH1gWQit80ngbbe4,lV87AH1gWQit80ngbbe4,"{""id"":""H4r4RS33SpOUYyMby8UI"",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""dailyAssignments"":[],""requiredPaceAdj"":27,""createdAt"":""2025-12-10T07:13:50.652Z"",""idealProgress"":0.33,""unallocatedMinutes"":"""",""estimatedMinutes"":90,""dailyPlanGeneratedAt"":"""",""labelId"":"""",""actualTotalMinutes"":10,""riskLevel"":""warn"",""statsUpdatedAt"":""2025-12-10T07:13:51.444Z"",""assignedMinutes"":"""",""morningSummaryNotified"":false,""spiExp"":0,""plannedStart"":"""",""deadline"":""2025-12-12T09:00:00.000Z"",""spi"":0,""morningSummaryNotifiedAt"":"""",""spiAdj"":0,""actualProgress"":0,""morningSummaryLastDate"":"""",""completed"":false,""text"":""sdk"",""spi7d"":0,""dailyProgress"":{},""requiredPace"":30,""actualLogs"":{""2025-12-12"":10}}","{""id"":""H4r4RS33SpOUYyMby8UI"",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""dailyAssignments"":[],""requiredPaceAdj"":27,""createdAt"":""2025-12-10T07:13:50.652Z"",""idealProgress"":0.33,""unallocatedMinutes"":"""",""estimatedMinutes"":90,""dailyPlanGeneratedAt"":"""",""labelId"":"""",""actualTotalMinutes"":0,""riskLevel"":""warn"",""statsUpdatedAt"":""2025-12-10T07:13:51.444Z"",""assignedMinutes"":"""",""morningSummaryNotified"":false,""spiExp"":0,""plannedStart"":"""",""deadline"":""2025-12-12T09:00:00.000Z"",""spi"":0,""morningSummaryNotifiedAt"":"""",""spiAdj"":0,""actualProgress"":0,""morningSummaryLastDate"":"""",""completed"":false,""text"":""sdk"",""spi7d"":0,""dailyProgress"":{},""requiredPace"":30}","[""actualTotalMinutes"",""actualLogs.2025-12-12""]",add-actual-from-todo-list,2025-12-12T01:10:39.729Z
todos/H4r4RS33SpOUYyMby8UI/history/rAA7L6B00NolnUt9RHJ2,rAA7L6B00NolnUt9RHJ2,"{""id"":""H4r4RS33SpOUYyMby8UI"",""labelId"":"""",""plannedStart"":"""",""createdAt"":""2025-12-10T07:13:50.652Z"",""text"":""sdk"",""dailyAssignments"":[],""requiredPaceAdj"":72,""estimatedMinutes"":90,""idealProgress"":0.67,""pace7d"":10,""actualTotalMinutes"":10,""dailyProgress"":{},""spiAdj"":0.14,""actualLogs"":{""2025-12-12"":10},""requiredPace"":80,""completed"":false,""morningSummaryNotified"":false,""spi7d"":0.13,""actualProgress"":0.11,""spi"":0.13,""paceExp"":9.4,""assignedMinutes"":"""",""eacDate"":""2025-12-20"",""deadline"":""2025-12-19T09:00:00.000Z"",""unallocatedMinutes"":"""",""statsUpdatedAt"":""2025-12-12T01:10:55.322Z"",""dailyPlanGeneratedAt"":"""",""riskLevel"":""late"",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""morningSummaryNotifiedAt"":"""",""morningSummaryLastDate"":"""",""spiExp"":0.12}","{""id"":""H4r4RS33SpOUYyMby8UI"",""labelId"":"""",""plannedStart"":"""",""createdAt"":""2025-12-10T07:13:50.652Z"",""text"":""sdk"",""dailyAssignments"":[],""requiredPaceAdj"":72,""estimatedMinutes"":90,""idealProgress"":0.67,""pace7d"":10,""actualTotalMinutes"":10,""dailyProgress"":{},""spiAdj"":0.14,""actualLogs"":{""2025-12-12"":10},""requiredPace"":80,""completed"":false,""morningSummaryNotified"":false,""spi7d"":0.13,""actualProgress"":0.11,""spi"":0.13,""paceExp"":9.4,""assignedMinutes"":"""",""eacDate"":""2025-12-20"",""deadline"":""2025-12-12T09:00:00.000Z"",""unallocatedMinutes"":"""",""statsUpdatedAt"":""2025-12-12T01:10:55.322Z"",""dailyPlanGeneratedAt"":"""",""riskLevel"":""late"",""userId"":""Z9IYVixbY7QYdNBlmHkyIUEXMAI2"",""morningSummaryNotifiedAt"":"""",""morningSummaryLastDate"":"""",""spiExp"":0.12}","[""deadline""]",edit-todo,2025-12-12T01:10:56.622Z
