__docPath,__docId,evm,updatedAt
users/Y8guHqhoS2XRWkxAJMSr6fqzmVD3/metrics/2025-11-22,2025-11-22,"{""idealProgress"":1,""actualProgress"":0,""riskLevel"":""late"",""spi"":0,""eacDate"":""43094-07-01""}",2025-11-22T04:58:38.178Z
users/Y8guHqhoS2XRWkxAJMSr6fqzmVD3/metrics/2025-11-24,2025-11-24,"{""actualProgress"":0.04,""riskLevel"":""late"",""eacDate"":""2025-12-17"",""idealProgress"":0.22,""spi"":0.3}",2025-11-24T04:31:36.759Z
users/Y8guHqhoS2XRWkxAJMSr6fqzmVD3/metrics/2025-11-26,2025-11-26,"{""actualProgress"":1,""riskLevel"":"""",""eacDate"":""2025-11-26"",""idealProgress"":1,""spi"":1}",2025-11-26T02:08:28.112Z
users/Y8guHqhoS2XRWkxAJMSr6fqzmVD3/metrics/2025-12-15,2025-12-15,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":"""",""spi"":0,""idealProgress"":0.05}",2025-12-15T12:43:40.431Z
