__docPath,__docId,createdAt,date,minutes,source,trigger
todos/rJOWMdXZYNtZYlxrpsFG/sessions/Aj39UWu0qmM80cq7IWE6,Aj39UWu0qmM80cq7IWE6,2025-12-16T08:39:13.944Z,2025-12-16,5,manual,list
todos/rJOWMdXZYNtZYlxrpsFG/sessions/NG7eCGSYohdMcGiKthuI,NG7eCGSYohdMcGiKthuI,2025-12-10T07:12:59.649Z,2025-12-10,10,manual,list
todos/rJOWMdXZYNtZYlxrpsFG/sessions/VtYzURqGTpdP9xtT68e1,VtYzURqGTpdP9xtT68e1,2025-12-16T08:32:08.740Z,2025-12-16,10,manual,list
