__docPath,__docId,evm,updatedAt
users/qEvovKzp9yTvyfV3IGR9OUERHbk1/metrics/2025-10-21,2025-10-21,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":""248437-06-08"",""idealProgress"":0.01,""spi"":0}",2025-10-21T05:26:33.792Z
users/qEvovKzp9yTvyfV3IGR9OUERHbk1/metrics/2025-12-02,2025-12-02,"{""actualProgress"":1,""riskLevel"":"""",""eacDate"":""2025-12-02"",""spi"":1,""idealProgress"":0.03}",2025-12-02T09:35:32.412Z
users/qEvovKzp9yTvyfV3IGR9OUERHbk1/metrics/2025-12-09,2025-12-09,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":"""",""idealProgress"":0.69,""spi"":0}",2025-12-09T05:48:29.145Z
