userId,date,todoId,plannedMinutes,capMinutes,totalPlannedMinutes,spi,eacDate,riskLevel,idealProgress,actualProgress,deadline,deadlineDate,statsUpdatedAt,statsUpdatedDate,planUpdatedAt
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-25,x7uE0iDGeYN6TmRupn7j,150,300,300,1,2025-12-25,,0.8,1,2025-12-26T09:00:00.000Z,2025-12-26,2025-12-25T02:43:56.130Z,2025-12-25,2025-12-25T00:18:17.949Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-25,ZlWil5p9azRqUuuaB3Ao,113,300,300,1.26,2025-12-31,ok,0.58,0.69,2025-12-31T09:00:00.000Z,2025-12-31,2025-12-26T02:36:57.031Z,2025-12-26,2025-12-25T00:18:17.949Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-25,tPXrO3CZIJuRff9TO5GJ,38,300,300,5,2025-12-27,late,1,0.97,2025-12-25T09:00:00.000Z,2025-12-25,2025-12-26T02:36:56.175Z,2025-12-26,2025-12-25T00:18:17.949Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-26,tPXrO3CZIJuRff9TO5GJ,119,300,300,5,2025-12-27,late,1,0.97,2025-12-25T09:00:00.000Z,2025-12-25,2025-12-26T02:36:56.175Z,2025-12-26,2025-12-26T01:05:44.911Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-26,ZlWil5p9azRqUuuaB3Ao,94,300,300,1.26,2025-12-31,ok,0.58,0.69,2025-12-31T09:00:00.000Z,2025-12-31,2025-12-26T02:36:57.031Z,2025-12-26,2025-12-26T01:05:44.911Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-26,yFII5G1f8Yf47CTrPlWC,86,300,300,0.21,2026-07-11,late,0.63,0.39,2026-01-31T09:00:00.000Z,2026-01-31,2025-12-26T02:36:54.363Z,2025-12-26,2025-12-26T01:05:44.911Z
Y4e0rFXs04NAU4tSBKi9tc4oWA73,2025-12-21,8CztilXZFZIQjrjHfNMZ,50,120,50,0,,warn,0.2,0,2025-12-26T09:00:00.000Z,2025-12-26,2025-12-21T12:38:10.304Z,2025-12-21,2025-12-21T12:38:05.974Z
Y8guHqhoS2XRWkxAJMSr6fqzmVD3,2025-12-15,k3TSWnSlr3Wk8uCKw9VU,120,120,120,0.07,2026-01-07,late,1,0.4,2025-11-30T14:59:00.000Z,2025-11-30,2025-12-22T04:42:21.809Z,2025-12-22,2025-12-15T12:40:57.754Z
Y8guHqhoS2XRWkxAJMSr6fqzmVD3,2025-12-20,k3TSWnSlr3Wk8uCKw9VU,120,120,120,0.07,2026-01-07,late,1,0.4,2025-11-30T14:59:00.000Z,2025-11-30,2025-12-22T04:42:21.809Z,2025-12-22,2025-12-19T15:50:42.932Z
Y8guHqhoS2XRWkxAJMSr6fqzmVD3,2025-12-22,k3TSWnSlr3Wk8uCKw9VU,120,120,120,0.07,2026-01-07,late,1,0.4,2025-11-30T14:59:00.000Z,2025-11-30,2025-12-22T04:42:21.809Z,2025-12-22,2025-12-22T04:41:16.700Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-09,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-09T00:30:02.589Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-09,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-09T00:30:02.589Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-10,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-10T00:30:02.906Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-10,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-10T00:30:02.906Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-11,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-11T00:30:06.851Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-11,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-11T00:30:06.851Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-12,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-12T00:30:02.379Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-12,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-12T00:30:02.379Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-13,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-13T00:30:04.063Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-13,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-13T00:30:04.063Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-14,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-14T00:30:03.273Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-14,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-14T00:30:03.273Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-15,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-15T00:30:03.336Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-15,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-15T00:30:03.336Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-16,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-16T00:30:02.931Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-16,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-16T00:30:02.931Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-17,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-17T00:30:03.628Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-17,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-17T00:30:03.628Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-18,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-18T00:30:03.664Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-18,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-18T00:30:03.664Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-19,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-19T00:30:03.738Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-19,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-19T00:30:03.738Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-20,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-20T00:30:03.576Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-20,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-20T00:30:03.576Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-21,FwUMLGt4n0BTb9O92tdy,81,120,120,0,248437-07-12,late,1,0,2025-10-07T09:00:00.000Z,2025-10-07,2025-11-24T00:33:17.271Z,2025-11-24,2025-12-21T00:30:07.597Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-21,JhlhSMZM9smOiu5Y4Pop,39,120,120,0,248437-07-12,late,1,0,2025-10-08T09:00:00.000Z,2025-10-08,2025-11-24T00:33:17.445Z,2025-11-24,2025-12-21T00:30:07.597Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-24,WENaj13RWJSra5tVQdBe,90,120,90,0,,late,1,0.25,2025-12-19T09:00:00.000Z,2025-12-19,2025-12-24T01:22:48.782Z,2025-12-24,2025-12-24T01:22:29.139Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-25,WENaj13RWJSra5tVQdBe,90,120,120,0,,late,1,0.25,2025-12-19T09:00:00.000Z,2025-12-19,2025-12-24T01:22:48.782Z,2025-12-24,2025-12-25T10:49:44.901Z
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-25,svlldaMpB3qqDi5jO463,30,120,120,1,2025-12-26,ok,0.67,0.67,2025-12-26T09:00:00.000Z,2025-12-26,2025-12-25T10:50:20.248Z,2025-12-25,2025-12-25T10:49:44.901Z
fPbo8M5sYpP78kgIe8EzCDRC7LI2,2025-12-23,uwcyljgurC5sziRtbVrZ,120,120,120,3.06,2025-12-25,ok,0.82,0.55,2025-12-28T09:00:00.000Z,2025-12-28,2025-12-23T14:58:39.531Z,2025-12-23,2025-12-23T14:57:50.905Z
qEvovKzp9yTvyfV3IGR9OUERHbk1,2025-12-09,eu7kyHdhHcAf59N8u9c7,120,120,120,0,,warn,0.86,0,2025-12-31T09:00:00.000Z,2025-12-31,2025-12-22T04:49:25.809Z,2025-12-22,2025-12-09T05:48:23.170Z
qEvovKzp9yTvyfV3IGR9OUERHbk1,2025-12-22,eu7kyHdhHcAf59N8u9c7,120,120,120,0,,warn,0.86,0,2025-12-31T09:00:00.000Z,2025-12-31,2025-12-22T04:49:25.809Z,2025-12-22,2025-12-22T04:49:23.538Z
qEvovKzp9yTvyfV3IGR9OUERHbk1,2025-12-23,1fQSP4olWNYjyj9ztsIa,120,120,120,0.1,2026-01-14,late,0.96,0.37,2025-12-24T11:00:00.000Z,2025-12-24,2025-12-23T10:10:06.277Z,2025-12-23,2025-12-23T07:26:39.888Z
